size(bytes),time(ns),Threads,Stride,StrideSize,
64,2.41249,4,no,64,
128,2.42277,4,no,64,
256,2.49144,4,no,64,
512,2.40731,4,no,64,
1024,2.41437,4,no,64,
2048,2.42208,4,no,64,
4096,2.42093,4,no,64,
8192,2.44607,4,no,64,
16384,2.43701,4,no,64,
32768,2.56632,4,no,64,
65536,3.44437,4,no,64,
131072,4.12495,4,no,64,
262144,4.31444,4,no,64,
524288,9.18358,4,no,64,
1048576,12.1604,4,no,64,
2097152,23.623,4,no,64,
4194304,46.0615,4,no,64,
8388608,62.9586,4,no,64,
16777216,69.0527,4,no,64,
33554432,74.5997,4,no,64,
67108864,78.4264,4,no,64,
