size(bytes),time(ns),Threads,Stride,StrideSize,
0,6.11787,12,yes,64,
64,58.8823,12,yes,64,
128,78.1434,12,yes,64,
192,92.1445,12,yes,64,
256,93.1281,12,yes,64,
320,96.9415,12,yes,64,
384,95.2132,12,yes,64,
448,95.0232,12,yes,64,
512,146.49,12,yes,64,
576,94.5097,12,yes,64,
640,98.9032,12,yes,64,
704,106.428,12,yes,64,
768,109.82,12,yes,64,
832,108.216,12,yes,64,
896,106.535,12,yes,64,
960,107.507,12,yes,64,
1024,172.369,12,yes,64,
