size(bytes),time(ns),Threads,Stride,StrideSize,
0,2.4277,4,yes,64,
64,15.6181,4,yes,64,
128,32.2031,4,yes,64,
192,50.9896,4,yes,64,
256,53.7699,4,yes,64,
320,52.7987,4,yes,64,
384,53.207,4,yes,64,
448,52.2573,4,yes,64,
512,59.7581,4,yes,64,
576,46.2888,4,yes,64,
640,48.2268,4,yes,64,
704,52.8249,4,yes,64,
768,53.1269,4,yes,64,
832,58.1927,4,yes,64,
896,58.6553,4,yes,64,
960,58.4542,4,yes,64,
1024,71.6894,4,yes,64,
