size(bytes),time(ns),Threads,Stride,StrideSize,
0,5.19927,8,yes,64,
64,42.7346,8,yes,64,
128,56.3558,8,yes,64,
192,69.496,8,yes,64,
256,71.8561,8,yes,64,
320,73.7968,8,yes,64,
384,73.1271,8,yes,64,
448,73.8076,8,yes,64,
512,114.527,8,yes,64,
576,74.3612,8,yes,64,
640,76.1355,8,yes,64,
704,80.9072,8,yes,64,
768,84.9505,8,yes,64,
832,84.8999,8,yes,64,
896,84.0569,8,yes,64,
960,84.287,8,yes,64,
1024,128.53,8,yes,64,
