size(bytes),time(ns),Threads,Stride,StrideSize,
0,2.96974,12,yes,64,
64,24.1025,12,yes,64,
128,45.1572,12,yes,64,
192,55.8596,12,yes,64,
256,56.3389,12,yes,64,
320,59.1678,12,yes,64,
384,59.8605,12,yes,64,
448,61.8549,12,yes,64,
512,88.6523,12,yes,64,
576,63.9496,12,yes,64,
640,66.1164,12,yes,64,
704,70.5599,12,yes,64,
768,71.646,12,yes,64,
832,71.4251,12,yes,64,
896,71.0744,12,yes,64,
960,75.3604,12,yes,64,
1024,113.97,12,yes,64,
