size(bytes),time(ns),Threads,Stride,StrideSize,
64,3.38525,4,no,64,
128,3.49786,4,no,64,
256,3.58207,4,no,64,
512,3.38996,4,no,64,
1024,3.3897,4,no,64,
2048,3.42359,4,no,64,
4096,3.40329,4,no,64,
8192,3.39914,4,no,64,
16384,3.40813,4,no,64,
32768,3.4999,4,no,64,
65536,4.6133,4,no,64,
131072,5.14365,4,no,64,
262144,5.97606,4,no,64,
524288,11.2077,4,no,64,
1048576,13.5399,4,no,64,
2097152,32.7007,4,no,64,
4194304,49.5396,4,no,64,
8388608,74.1006,4,no,64,
16777216,81.2935,4,no,64,
33554432,87.5586,4,no,64,
67108864,88.9211,4,no,64,
