size(bytes),time(ns),Threads,Stride,StrideSize,
0,2.3548,1,yes,64,
64,5.14526,1,yes,64,
128,13.9069,1,yes,64,
192,32.5535,1,yes,64,
256,29.6088,1,yes,64,
320,34.2143,1,yes,64,
384,38.3081,1,yes,64,
448,40.141,1,yes,64,
512,40.1214,1,yes,64,
576,42.0035,1,yes,64,
640,44.7629,1,yes,64,
704,48.5339,1,yes,64,
768,48.3508,1,yes,64,
832,48.5905,1,yes,64,
896,48.5241,1,yes,64,
960,48.1345,1,yes,64,
1024,43.6557,1,yes,64,
