size(bytes),time(ns),Threads,Stride,StrideSize,
64,3.94683,8,no,64,
128,3.96644,8,no,64,
256,4.38122,8,no,64,
512,3.96747,8,no,64,
1024,3.96357,8,no,64,
2048,4.16678,8,no,64,
4096,4.04965,8,no,64,
8192,4.04467,8,no,64,
16384,4.33146,8,no,64,
32768,4.88141,8,no,64,
65536,5.67957,8,no,64,
131072,6.67712,8,no,64,
262144,8.29258,8,no,64,
524288,13.0534,8,no,64,
1048576,22.4224,8,no,64,
2097152,58.8625,8,no,64,
4194304,81.2481,8,no,64,
8388608,96.5064,8,no,64,
16777216,111.884,8,no,64,
33554432,113.599,8,no,64,
67108864,121.885,8,no,64,
