size(bytes),time(ns),Threads,Stride,StrideSize,
0,2.95528,8,yes,64,
64,21.4613,8,yes,64,
128,40.3547,8,yes,64,
192,52.6611,8,yes,64,
256,54.6483,8,yes,64,
320,56.5819,8,yes,64,
384,53.4531,8,yes,64,
448,55.7739,8,yes,64,
512,75.5509,8,yes,64,
576,54.6779,8,yes,64,
640,57.99,8,yes,64,
704,61.2305,8,yes,64,
768,62.415,8,yes,64,
832,63.6173,8,yes,64,
896,64.8607,8,yes,64,
960,65.1996,8,yes,64,
1024,96.0762,8,yes,64,
