size(bytes),time(ns),Threads,Stride,StrideSize,
64,5.09671,12,no,64,
128,5.65445,12,no,64,
256,5.96116,12,no,64,
512,5.62255,12,no,64,
1024,5.87515,12,no,64,
2048,5.70857,12,no,64,
4096,5.78117,12,no,64,
8192,5.76341,12,no,64,
16384,5.80316,12,no,64,
32768,6.8785,12,no,64,
65536,8.03631,12,no,64,
131072,7.83705,12,no,64,
262144,11.696,12,no,64,
524288,15.645,12,no,64,
1048576,44.2541,12,no,64,
2097152,83.6704,12,no,64,
4194304,113.505,12,no,64,
8388608,128.123,12,no,64,
16777216,133.529,12,no,64,
33554432,132.499,12,no,64,
67108864,141.971,12,no,64,
