size(bytes),time(ns),Threads,Stride,StrideSize,
0,4.23768,1,yes,64,
64,7.52997,1,yes,64,
128,18.7289,1,yes,64,
192,37.4337,1,yes,64,
256,39.5395,1,yes,64,
320,41.4216,1,yes,64,
384,43.3838,1,yes,64,
448,43.461,1,yes,64,
512,46.9861,1,yes,64,
576,43.343,1,yes,64,
640,45.1143,1,yes,64,
704,46.9579,1,yes,64,
768,48.3882,1,yes,64,
832,49.601,1,yes,64,
896,48.1299,1,yes,64,
960,46.5676,1,yes,64,
1024,49.3361,1,yes,64,
