size(bytes),time(ns),Threads,Stride,StrideSize,
64,2.40751,2,no,64,
128,2.40475,2,no,64,
256,2.46031,2,no,64,
512,2.40562,2,no,64,
1024,2.41096,2,no,64,
2048,2.42669,2,no,64,
4096,2.41749,2,no,64,
8192,2.41556,2,no,64,
16384,2.42084,2,no,64,
32768,2.46055,2,no,64,
65536,3.38614,2,no,64,
131072,3.77364,2,no,64,
262144,7.21847,2,no,64,
524288,9.0743,2,no,64,
1048576,11.4284,2,no,64,
2097152,13.2672,2,no,64,
4194304,23.5639,2,no,64,
8388608,49.52,2,no,64,
16777216,68.0776,2,no,64,
33554432,75.2541,2,no,64,
67108864,79.6833,2,no,64,
