size(bytes),time(ns),Threads,Stride,StrideSize,
64,3.33237,16,no,64,
128,3.51319,16,no,64,
256,3.53301,16,no,64,
512,3.53223,16,no,64,
1024,3.38207,16,no,64,
2048,3.52836,16,no,64,
4096,3.80162,16,no,64,
8192,3.59823,16,no,64,
16384,3.82543,16,no,64,
32768,4.80007,16,no,64,
65536,5.8754,16,no,64,
131072,7.30693,16,no,64,
262144,11.3607,16,no,64,
524288,15.8425,16,no,64,
1048576,42.7544,16,no,64,
2097152,76.5353,16,no,64,
4194304,95.2399,16,no,64,
8388608,99.6217,16,no,64,
16777216,110.613,16,no,64,
33554432,108.246,16,no,64,
67108864,118.742,16,no,64,
