size(bytes),time(ns),Threads,Stride,StrideSize,
0,7.30807,16,yes,64,
64,84.5012,16,yes,64,
128,109.39,16,yes,64,
192,130.224,16,yes,64,
256,131.444,16,yes,64,
320,131.399,16,yes,64,
384,133.204,16,yes,64,
448,131.199,16,yes,64,
512,206.736,16,yes,64,
576,122.703,16,yes,64,
640,118.938,16,yes,64,
704,133.871,16,yes,64,
768,141.283,16,yes,64,
832,139.479,16,yes,64,
896,137.395,16,yes,64,
960,135.264,16,yes,64,
1024,244.407,16,yes,64,
