size(bytes),time(ns),Threads,Stride,StrideSize,
64,3.3831,2,no,64,
128,3.38766,2,no,64,
256,3.51608,2,no,64,
512,3.38916,2,no,64,
1024,3.38266,2,no,64,
2048,3.40204,2,no,64,
4096,3.40158,2,no,64,
8192,3.40162,2,no,64,
16384,3.41388,2,no,64,
32768,3.46887,2,no,64,
65536,4.59551,2,no,64,
131072,5.25083,2,no,64,
262144,5.87616,2,no,64,
524288,10.386,2,no,64,
1048576,12.7524,2,no,64,
2097152,14.1713,2,no,64,
4194304,25.2689,2,no,64,
8388608,51.1738,2,no,64,
16777216,67.172,2,no,64,
33554432,78.4314,2,no,64,
67108864,81.363,2,no,64,
