size(bytes),time(ns),Threads,Stride,StrideSize,
64,2.6671,12,no,64,
128,2.66458,12,no,64,
256,2.83293,12,no,64,
512,2.68684,12,no,64,
1024,2.73577,12,no,64,
2048,2.70768,12,no,64,
4096,2.7134,12,no,64,
8192,2.71774,12,no,64,
16384,2.71891,12,no,64,
32768,3.65783,12,no,64,
65536,4.32617,12,no,64,
131072,5.7446,12,no,64,
262144,9.77523,12,no,64,
524288,14.0715,12,no,64,
1048576,36.214,12,no,64,
2097152,65.3302,12,no,64,
4194304,80.911,12,no,64,
8388608,91.1094,12,no,64,
16777216,98.3617,12,no,64,
33554432,97.4214,12,no,64,
67108864,101.805,12,no,64,
