size(bytes),time(ns),Threads,Stride,StrideSize,
64,2.41301,1,no,64,
128,2.41111,1,no,64,
256,2.36808,1,no,64,
512,2.35128,1,no,64,
1024,2.35961,1,no,64,
2048,2.38472,1,no,64,
4096,2.36353,1,no,64,
8192,2.43042,1,no,64,
16384,2.39977,1,no,64,
32768,2.49507,1,no,64,
65536,3.33999,1,no,64,
131072,3.7022,1,no,64,
262144,4.04852,1,no,64,
524288,8.72644,1,no,64,
1048576,10.9688,1,no,64,
2097152,12.1839,1,no,64,
4194304,12.8408,1,no,64,
8388608,23.9383,1,no,64,
16777216,49.9887,1,no,64,
33554432,69.5575,1,no,64,
67108864,77.8475,1,no,64,
