size(bytes),time(ns),Threads,Stride,StrideSize,
64,3.30814,1,no,64,
128,3.30568,1,no,64,
256,3.30688,1,no,64,
512,3.46181,1,no,64,
1024,3.30453,1,no,64,
2048,3.32699,1,no,64,
4096,3.31614,1,no,64,
8192,3.33757,1,no,64,
16384,3.33963,1,no,64,
32768,3.38666,1,no,64,
65536,4.51821,1,no,64,
131072,5.01945,1,no,64,
262144,5.41655,1,no,64,
524288,10.22,1,no,64,
1048576,12.4963,1,no,64,
2097152,13.7964,1,no,64,
4194304,14.6056,1,no,64,
8388608,25.9717,1,no,64,
16777216,52.1904,1,no,64,
33554432,67.4453,1,no,64,
67108864,80.1529,1,no,64,
